Name,Age,Official Games Played,Place of Birth,Federation
Garry Kasparov,60,2420,"Baku, Azerbaijan SSR, Soviet Union",Russia
Bobby Fischer,64,1189,"Chicago, Illinois, US",United States
Magnus Carlsen,32,4112,"Tønsberg, Norway",Norway
Jose Raul Capablanca,53,1310,"Havana, Cuba",Cuba
Hikaru Nakamura,35,5201,"Hirakata, Japan",United States
Paul Morphy,47,377,"New Orleans, Louisiana, United States",United States
Viswanathan Anand,53,4216,"Mayiladuthurai, Tamil Nadu, India",India
Mikhail Tal,55,3189,"Riga, Republic of Latvia",Latvia
Fabiano Caruana,31,3457,"Miami, Florida, USA",United States
Mikhail Botvinnik,83,1315,"Kuokkala, Grand Duchy of Finland, Russian Empire (now Repino, Russia)",Russia
Judit Polgar,47,2085,"Budapest, Hungary",Hungary
Alexander Alekhine,53,2354,"Moscow, Russian Empire",Russia
Abhimanyu Mishra,14,365,,United States
Aditya Mittal,17,637,,India
Alan Pichot,25,1587,"Buenos Aires, Argentina",Spain
Aleksandar Indjic,28,1914,,Serbia
Aleksandr Rakhmanov,33,2065,"Cherepovets, Russia",FIDE
Aleksandr Shimanov,31,2335,"Saint Petersburg, Russia",Russia
Aleksey Dreev,54,3955,"Stavropol, Russian SFSR, Soviet Union",Russia
Alexander Donchenko,25,1978,"Moscow, Russia",Germany
Alexander Grischuk,39,4201,"Moscow, Russian SFSR, Soviet Union",Russia
Alexander Morozevich,46,2564,"Moscow, Russian SFSR, Soviet Union",Russia
Alexander Onischuk,47,1663,"Sevastopol, Ukrainian SSR, Soviet Union",United States
Alexandr Predke,29,1374,"Dimitrovgrad, Russia",Serbia
Alexey Sarana,23,2787,"Moscow, Russia",Serbia
Alireza Firouzja,20,1703,"Babol, Iran",France
Amin Tabatabaei,22,1280,"Tehran, Iran",Iran
Andrew Tang,23,1156,,United States
Andrew Z Hong,18,379,,United States
Andrey Baryshpolets,32,781,"Kyiv, Ukraine",Ukraine
Andrey Esipenko,21,1427,"Novocherkassk, Russia",FIDE
Anish Giri,29,2787,"Saint Petersburg, Russia",Netherlands
Ante Saric,39,1767,,Croatia
Anton Korobov,38,2432,"Mezhdurechensk, Kemerovo Oblast, Russian SFSR, Soviet Union",Ukraine
Anton Smirnov,22,638,"Canberra, Australia",Australia
Aram Hakobyan,22,1163,"Yerevan, Armenia",Armenia
Aravindh Chithambaram,24,1113,,India
Arik Braun,35,872,,Germany
Arjun Erigaisi,19,1286,,India
Arkadij Naiditsch,37,2685,"Riga, Latvian SSR, Soviet Union",Azerbaijan
Aronyak Ghosh,19,239,,India
Aryan Tari,24,1956,"Stavanger, Norway",Norway
Awonder Liang,20,1013,"Madison, Wisconsin",United States
Baadur Jobava,39,2974,"Gali, Georgian SSR, Soviet Union",Georgia
Bardiya Daneshvar,17,405,,Iran
Bassem Amin,34,1541,"Tanta, Egypt",Egypt
Benjamin Gledura,24,1045,"Eger, Hungary",Hungary
Bogdan-Daniel Deac,21,1723,"Ramnicu Valcea, Romania",Romania
Boris Savchenko,37,2469,,Russia
Bu Xiangzhi,37,1822,"Qingdao, Shandong, China",China
Christopher Yoo,16,1075,"California, United States",United States
Constantin Lupulescu,39,1808,"Buftea, Romania",Romania
Daniel Dardha,17,784,,Belgium
Daniil Dubov,27,2372,"Moscow, Russia",Russia
Dariusz Swiercz,29,1800,"Tarnowskie Gory, Poland",United States
David Anton Guijarro,28,1765,"Madrid, Spain",Spain
David Gavrilescu,20,608,,Romania
David Howell,32,2244,"Eastbourne, England, United Kingdom",England
David Paravyan,25,2490,"Moscow, Russia",FIDE
Denis Kadric,28,1041,,Montenegro
Denis Lazavik,16,1250,"Minsk, Belarus",Belarus
Ding Liren,30,1680,"Wenzhou, Zhejiang, China",China
Diptayan Ghosh,25,662,,India
Dmitrij Kollars,24,1314,,Germany
Dmitry Andreikin,33,3374,"Ryazan, Russian SFSR, Soviet Union",FIDE
Eduardo Iturrizaga Bonelli,33,1976,,Spain
Elham Abdulrauf,18,441,,Norway
Elshan Moradiabadi,38,1207,,United States
Emre Can,33,1207,,Turkey
Ernesto Inarkiev,37,2147,"Khaidarkan, Osh Region, Kirghiz SSR, Soviet Union",FIDE
Etienne Bacrot,40,3533,"Lille, France",France
Eugene Perelshteyn,43,735,"Zhytomyr, Ukrainian SSR, Soviet Union",United States
Evgeny Alekseev,37,2614,,Israel
Evgeny Bareev,56,2128,"Yemanzhelinsk, Russia",Canada
Federico Perez Ponsa,29,1237,"Buenos Aires, Argentina",Argentina
Francisco Vallejo Pons,41,2662,"Es Castell, Menorca (Spain)",Spain
Frederik Svane,19,702,,Germany
Gabriel Sargissian,39,1924,"Yerevan, Armenian SSR, Soviet Union",Armenia
Gadir Guseinov,37,1959,"Moscow, Russian SFSR, USSR",Azerbaijan
Gawain Jones,35,2685,"Keighley, West Yorkshire, England, UK",England
Georg Meier,36,1836,"Trier, Germany",Uruguay
Gregory Kaidanov,63,1438,"Berdychiv, Ukraine (USSR)",United States
Gregory Serper,53,942,"Tashkent, Uzbek Soviet Socialist Republic (USSR).",United States
Grigoriy Oparin,26,2091,"Munich, Germany",United States
Guha Mitrabha,22,679,,India
Gukesh D,17,1029,"Chennai, Tamil Nadu, India",India
Haik Martirosyan,23,920,"Byuravan, Armenia",Armenia
Hjorvar Steinn Gretarsson,30,703,,Iceland
Hou Yifan,29,1965,"Xinghua, Jiangsu, China",China
Hrant Melkumyan,34,1772,"Yerevan, Armenia",Armenia
Humpy Koneru,36,1704,"Vijayawada, Andhra Pradesh, India",India
Igor Kovalenko,34,2060,"Novomoskovsk, Dnipropetrovsk Oblast, Ukrainian SSR, Soviet Union",Ukraine
Illya Nyzhnyk,26,1154,"Vinnytsia, Ukraine",Ukraine
Ivan Saric,33,2112,"Split, Croatia",Croatia
Jaime Santos Latasa,27,1003,,Spain
Jan-Krzysztof Duda,25,2084,"Krakow, Poland",Poland
Johan-Sebastian Christiansen,25,1169,,Norway
John M Burke,22,260,,United States
Jon Ludvig Hammer,33,1519,"Bergen, Norway",Norway
Jorden van Foreest,24,1874,"Utrecht, the Netherlands",Netherlands
Jorge Cori,28,1042,"Lima, Peru",Peru
Jose Fernando Cuenca Jimenez,36,951,,Spain
Ju Wenjun,32,1708,"Shanghai, China",China
Kacper Piorun,31,1632,,Poland
Kiril Georgiev,57,3318,,North Macedonia
Kirill Alekseenko,26,1519,"Vyborg, Russia",Austria
Kirill Shevchenko,20,887,"Kyiv, Ukraine",Romania
Lance Henderson de La Fuente,20,373,,Andorra
Le Quang Liem,32,2217,"Ho Chi Minh City, Vietnam",Vietnam
Leandro Krysa,31,858,,Argentina
Leon Livaic,22,768,Croatia,Croatia
Levon Aronian,40,4023,"Yerevan, Armenian SSR, Soviet Union",United States
Li Chao,34,63,"Taiyuan, Shanxi (China)",China
Loek van Wely,50,4228,"Heesch, the Netherlands",Netherlands
Luka Paichadze,32,824,,Georgia
Luke McShane,39,1703,"London, England",England
M Pranesh,17,384,,India
Manuel Petrosyan,25,1086,"Stepanakert, Artsakh/Azerbaijan",Armenia
Markus Ragger,35,1844,"Klagenfurt, Austria",Austria
Martyn Kravtsiv,33,1919,,Ukraine
Matthias Bluebaum,26,2123,"Lemgo, Germany",Germany
Matthieu Cornette,38,1378,,France
Max Warmerdam,23,745,,Netherlands
Maxim Matlakov,32,2475,"Leningrad, Russian SFSR, Soviet Union",Russia
Maxime Lagarde,29,1412,"Niort, Deux-Sevres, France",France
Mustafa Yilmaz,30,1618,,Turkey
Narayanan Sunilduth Lyna,25,1193,"Thiruvananthapuram, Kerala, India",India
Ni Hua,40,1598,,China
Niclas Huschenbeth,31,886,"Hann, Munden, Germany",Germany
Nicolas D Checa,21,431,"New York, USA",United States
Nijat Abasov,28,1063,"Baku, Azerbaijan",Azerbaijan
Nikita Meshkovs,29,1107,,Latvia
Nikita Vitiugov,36,1992,"Leningrad, Russian SFSR, USSR (now Saint Petersburg, Russia)",FIDE
Nikolas Theodorou,22,623,,Greece
Nils Grandelius,30,2119,"Lund, Sweden",Sweden
Nodirbek Abdusattorov,18,1267,"Tashkent, Uzbekistan",Uzbekistan
Nodirbek Yakubboev,21,771,"Tashkent, Uzbekistan",Uzbekistan
Parham Maghsoodloo,23,1635,"Gonbad-e Kavus, Iran",Iran
Paulius Pultinevicius,21,755,,Lithuania
Pavel Ponkratov,35,2315,"Chelyabinsk, Russia",Russia
Pawel Teclaf,20,419,,Poland
Peter Svidler,47,3722,"Leningrad, Russian SFSR, Soviet Union",FIDE
Pouya Idani,28,946,,Iran
Praggnanandhaa Rameshbabu,18,1104,"Chennai, Tamil Nadu, India",India
Radoslaw Wojtaszek,36,2386,"Elbląg, Poland",Poland
Rasmus Svane,26,2079,,Germany
Rauf Mamedov,35,2603,"Baku, Azerbaijani SSR, Soviet Union",Azerbaijan
Ray Robson,28,1136,"Guam, Micronesia, US",United States
Richard Rapport,27,1663,"Szombathely, Hungary",Romania
Rinat Jumabayev,34,1583,"Shymkent, Kazakhstan",Kazakhstan
Robert Hovhannisyan,30,1108,"Yerevan, Armenia",Armenia
Robin van Kampen,28,811,"Blaricum, Netherlands",Netherlands
Romain Edouard,32,1903,"Poitiers, France",France
Roman Dzindzichashvili,79,927,"Tbilisi, Georgia, USSR",United States
S P Sethuraman,30,1878,"Madras, India",India
Saleh Salem,30,1683,"Sharjah, United Arab Emirates",United Arab Emirates
Sam Sevian,22,1368,"Corning, New York, U.S.",United States
Samuel Shankland,31,1376,"Berkeley, California, U.S.",United States
Samvel Ter-Sahakyan,29,1716,"Vanadzor, Armenia",Armenia
Sanan Sjugirov,30,2530,"Elista, Russia",Russia
Sandro Mareco,36,1509,,Argentina
Sankalp Gupta,20,402,,India
Sasa Martinovic,32,1459,,Croatia
Sergei Zhigalko,34,3138,"Minsk, Belarus",Belarus
Sergey Karjakin,33,3156,"Simferopol, Ukrainian SSR, Soviet Union",Russia
Shamsiddin Vokhidov,21,1115,,Uzbekistan
Shant Sargsyan,21,907,"Yerevan, Armenia",Armenia
Thai Dai Van Nguyen,22,925,,Czech Republic
V Pranav,16,865,,India
Vahap Sanal,25,1841,,Turkey
Varuzhan Akobian,39,1497,,United States
Vasif Durarbayli,31,1641,,Azerbaijan
Vasyl Ivanchuk,54,4660,"Kopychyntsi, Ukrainian SSR, Soviet Union",Ukraine
Victor Mikhalevski,51,2286,,Israel
Vincent Keymer,18,1170,"Mainz, Germany",Germany
Vitaliy Bernadskiy,28,1623,"Chernivtsi, Ukraine",Ukraine
Vladimir Kramnik,48,3712,"Tuapse, Krasnodar Krai, Russian SFSR, Soviet Union",Russia
Vladimir Malakhov,42,2063,"Ivanovo, Russian SFSR, Soviet Union (now Russia)",FIDE
Vladislav Artemiev,25,1888,"Omsk, Russia",Russia
Vladislav Kovalev,29,2201,"Minsk, Belarus",FIDE
Volodar Murzin,17,989,,FIDE
Wang Yue,36,1541,"Taiyuan, Shanxi, China",China
Wei Yi,24,1440,"Yancheng, Jiangsu, China",China
Wesley So,29,2949,"Bacoor, Cavite, Philippines",United States
Yasser Seirawan,63,1753,"Damascus, Syria",United States
Yu Yangyi,29,1991,"Huangshi, Hubei, China",China
Zhang Zhong,45,1015,,China
Zurab Azmaiparashvili,63,1484,"Tbilisi, Georgian SSR",Georgia
